NZ Port,Citizenship,Count,Year
Akaroa,Australia,73145,2015
Akaroa,Austria,125,2015
Akaroa,Belgium,158,2015
Akaroa,Brazil,314,2015
Akaroa,Canada,4522,2015
Akaroa,"China, Peoples Republic of",1507,2015
Akaroa,Denmark,143,2015
Akaroa,France,266,2015
Akaroa,Germany,1202,2015
Akaroa,Hong Kong (Special Admin Reg),417,2015
Akaroa,India,118,2015
Akaroa,Ireland,176,2015
Akaroa,Israel,243,2015
Akaroa,Italy,234,2015
Akaroa,Japan,845,2015
Akaroa,Malaysia,342,2015
Akaroa,Mexico,439,2015
Akaroa,Netherlands,383,2015
Akaroa,New Zealand,6294,2015
Akaroa,Philippines,145,2015
Akaroa,Russia,281,2015
Akaroa,Singapore,193,2015
Akaroa,South Africa,209,2015
Akaroa,Spain,105,2015
Akaroa,Sweden,276,2015
Akaroa,Switzerland,423,2015
Akaroa,Taiwan,177,2015
Akaroa,United Kingdom,8782,2015
Akaroa,United States of America,25142,2015
Auckland,Australia,92859,2015
Auckland,Austria,384,2015
Auckland,Belgium,328,2015
Auckland,Brazil,392,2015
Auckland,Canada,6010,2015
Auckland,Chile,124,2015
Auckland,"China, Peoples Republic of",2324,2015
Auckland,Denmark,285,2015
Auckland,Finland,105,2015
Auckland,France,1445,2015
Auckland,Germany,4244,2015
Auckland,Hong Kong (Special Admin Reg),549,2015
Auckland,India,217,2015
Auckland,Ireland,266,2015
Auckland,Israel,266,2015
Auckland,Italy,702,2015
Auckland,Japan,1451,2015
Auckland,"Korea, Republic of",156,2015
Auckland,Malaysia,441,2015
Auckland,Mexico,509,2015
Auckland,Netherlands,560,2015
Auckland,New Zealand,18642,2015
Auckland,Norway,150,2015
Auckland,Philippines,207,2015
Auckland,Portugal,101,2015
Auckland,Russia,372,2015
Auckland,Singapore,260,2015
Auckland,South Africa,365,2015
Auckland,Spain,303,2015
Auckland,Sweden,354,2015
Auckland,Switzerland,901,2015
Auckland,Taiwan,246,2015
Auckland,United Kingdom,11575,2015
Auckland,United States of America,30840,2015
Bay of Islands,Australia,30910,2015
Bay of Islands,Austria,183,2015
Bay of Islands,Canada,2490,2015
Bay of Islands,"China, Peoples Republic of",350,2015
Bay of Islands,Denmark,183,2015
Bay of Islands,France,314,2015
Bay of Islands,Germany,2987,2015
Bay of Islands,Hong Kong (Special Admin Reg),210,2015
